2020-03-07 00:05:47.717221 - G2:    best_fitness=-31	best_weights=[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0]	 game_history=[-13, -18]
2020-03-07 00:06:39.128694 - G3:    best_fitness=-5	best_weights=[0.984, 0, 0, 0, 1, 0, 1, -0.497, -0.315, 1, 0.195, 1.018, 0, 0, 1, -0.433, 0, 1, -1.485]	 game_history=[3, -8]
2020-03-07 00:07:29.253467 - G4:    best_fitness=-5	best_weights=[0.984, 0, 0, 0, 1, 0, 1, -0.497, -0.315, 1, 0.195, 1.018, 0, 0, 1, -0.433, 0, 1, -1.485]	 game_history=[3, -8]
2020-03-07 00:08:17.957984 - G5:    best_fitness=14	best_weights=[0.762, -0.329, -1.081, 1.093, 1.156, -0.098, 1, -0.639, -0.597, 0.171, 0, -1.367, -1.599, -0.602, -0.072, -0.332, -0.811, -1, 0.995]	 game_history=[3, 11]
2020-03-07 00:09:06.540824 - G6:    best_fitness=14	best_weights=[0.762, -0.329, -1.081, 1.093, 1.156, -0.098, 1, -0.639, -0.597, 0.171, 0, -1.367, -1.599, -0.602, -0.072, -0.332, -0.811, -1, 0.995]	 game_history=[3, 11]
2020-03-07 00:09:55.750323 - G7:    best_fitness=14	best_weights=[0.762, -0.329, -1.081, 1.093, 1.156, -0.098, 1, -0.639, -0.597, 0.171, 0, -1.367, -1.599, -0.602, -0.072, -0.332, -0.811, -1, 0.995]	 game_history=[3, 11]
2020-03-07 00:10:45.129664 - G8:    best_fitness=17	best_weights=[-1.56, 0.684, 0, 0.68, -1.174, 0.18, 0.605, 0.203, -0.315, -1, 0, 0.939, -0.32, -0.924, 0.038, -1.394, 0.461, -2.128, 1.568]	 game_history=[5, 12]
2020-03-07 00:11:34.663765 - G9:    best_fitness=17	best_weights=[-1.56, 0.684, 0, 0.68, -1.174, 0.18, 0.605, 0.203, -0.315, -1, 0, 0.939, -0.32, -0.924, 0.038, -1.394, 0.461, -2.128, 1.568]	 game_history=[5, 12]
2020-03-07 00:12:21.836231 - G10:   best_fitness=17	best_weights=[-1.56, 0.684, 0, 0.68, -1.174, 0.18, 0.605, 0.203, -0.315, -1, 0, 0.939, -0.32, -0.924, 0.038, -1.394, 0.461, -2.128, 1.568]	 game_history=[5, 12]
2020-03-07 00:13:09.907769 - G11:   best_fitness=21	best_weights=[-0.31, 1.25, -0.574, 1.319, -1, -0.214, -1.065, 0.087, -0.339, -1, -1, -0.47, -0.08, -1.475, 0.658, 1.144, 0, 0.865, -1.138]	 game_history=[11, 10]
2020-03-07 00:13:58.495356 - G12:   best_fitness=21	best_weights=[-0.31, 1.25, -0.574, 1.319, -1, -0.214, -1.065, 0.087, -0.339, -1, -1, -0.47, -0.08, -1.475, 0.658, 1.144, 0, 0.865, -1.138]	 game_history=[11, 10]
2020-03-07 00:14:46.163444 - G13:   best_fitness=21	best_weights=[-0.31, 1.25, -0.574, 1.319, -1, -0.214, -1.065, 0.087, -0.339, -1, -1, -0.47, -0.08, -1.475, 0.658, 1.144, 0, 0.865, -1.138]	 game_history=[11, 10]
2020-03-07 00:15:33.243025 - G14:   best_fitness=31	best_weights=[0.736, 0.066, 0.334, 0.536, -1.174, -0.18, 0.028, 0.203, -0.454, -0.554, 1, -0.398, 0.08, -1.475, 1.139, 0.31, -0.178, -1.191, -1.478]	 game_history=[19, 12]
2020-03-07 00:16:26.171567 - G15:   best_fitness=31	best_weights=[0.736, 0.066, 0.334, 0.536, -1.174, -0.18, 0.028, 0.203, -0.454, -0.554, 1, -0.398, 0.08, -1.475, 1.139, 0.31, -0.178, -1.191, -1.478]	 game_history=[19, 12]
2020-03-07 00:17:16.678971 - G16:   best_fitness=31	best_weights=[0.736, 0.066, 0.334, 0.536, -1.174, -0.18, 0.028, 0.203, -0.454, -0.554, 1, -0.398, 0.08, -1.475, 1.139, 0.31, -0.178, -1.191, -1.478]	 game_history=[19, 12]
2020-03-07 00:18:04.929718 - G17:   best_fitness=31	best_weights=[0.736, 0.066, 0.334, 0.536, -1.174, -0.18, 0.028, 0.203, -0.454, -0.554, 1, -0.398, 0.08, -1.475, 1.139, 0.31, -0.178, -1.191, -1.478]	 game_history=[19, 12]
