2020-03-10 17:47:59.426089 - G2:   Rank 0 fitness=-35	weights=[4.419017348367065, -4.910583824768401, -0.5553659861926985, -3.8795557973674324, 4.02226235905649, 3.9896899734596025, 1.0980747885607423, -3.624323280778252]	 game_history=[-37, 2]
                                   Rank 1 fitness=-41	weights=[3.0403030684872, 1.4491534151727836, 0.9974013078989685, 3.9453947088318273, -1.5653172216833877, -1.0773928289970747, -2.8783308417870526, -3.0917483556726255]	 game_history=[-25, -16]
                                   Rank 2 fitness=-56	weights=[2.837699200555839, 4.6547586859576295, -0.3278057318773808, -4.370612536025, -1.185165557397343, 2.981443072224339, -3.8514133961385513, 2.6153763450354095]	 game_history=[-39, -17]
                                   Rank 3 fitness=-57	weights=[-2.9428507138803974, 3.3040778980605054, 0.6512331575862174, 2.737540032667157, 3.5010448874115188, 3.0756554198092223, -0.7430570429557515, -3.5746502719694586]	 game_history=[-35, -22]
                                   Rank 4 fitness=-59	weights=[-2.3149614204465063, 4.471394699488306, 2.5943151851778268, -2.1742411887781676, 2.5595321319465003, -4.7151023131864935, -1.4999697487341723, 1.219848162492082]	 game_history=[-39, -20]
2020-03-10 17:48:08.056595 - G3:   Rank 0 fitness=-35	weights=[4.419017348367065, -4.910583824768401, -0.5553659861926985, -3.8795557973674324, 4.02226235905649, 3.9896899734596025, 1.0980747885607423, -3.624323280778252]	 game_history=[-37, 2]
                                   Rank 1 fitness=-41	weights=[3.0403030684872, 1.4491534151727836, 0.9974013078989685, 3.9453947088318273, -1.5653172216833877, -1.0773928289970747, -2.8783308417870526, -3.0917483556726255]	 game_history=[-25, -16]
                                   Rank 2 fitness=-56	weights=[2.837699200555839, 4.6547586859576295, -0.3278057318773808, -4.370612536025, -1.185165557397343, 2.981443072224339, -3.8514133961385513, 2.6153763450354095]	 game_history=[-39, -17]
                                   Rank 3 fitness=-57	weights=[-2.9428507138803974, 3.3040778980605054, 0.6512331575862174, 2.737540032667157, 3.5010448874115188, 3.0756554198092223, -0.7430570429557515, -3.5746502719694586]	 game_history=[-35, -22]
                                   Rank 4 fitness=-59	weights=[-2.3149614204465063, 4.471394699488306, 2.5943151851778268, -2.1742411887781676, 2.5595321319465003, -4.7151023131864935, -1.4999697487341723, 1.219848162492082]	 game_history=[-39, -20]
2020-03-10 17:48:18.593615 - G4:   Rank 0 fitness=-35	weights=[4.419017348367065, -4.910583824768401, -0.5553659861926985, -3.8795557973674324, 4.02226235905649, 3.9896899734596025, 1.0980747885607423, -3.624323280778252]	 game_history=[-37, 2]
