2020-03-07 01:13:48.990192 - G2:   Rank 0 fitness=-2	weights=[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0]	 game_history=[1, -3]
                                   Rank 1 fitness=-5	weights=[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1]	 game_history=[9, -14]
                                   Rank 2 fitness=-6	weights=[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]	 game_history=[-13, 7]
                                   Rank 3 fitness=-12	weights=[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1]	 game_history=[-13, 1]
                                   Rank 4 fitness=-13	weights=[0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]	 game_history=[-17, 4]
2020-03-07 01:14:07.467009 - G3:   Rank 0 fitness=10	weights=[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]	 game_history=[3, 7]
                                   Rank 1 fitness=9	weights=[1.356, 1.971, 0.877, 0, 0, 0, 1, 0, 0, 1, -1.912, 2.535, 0, -2.04, 2.343, -0.106, 0, 1.945, -1]	 game_history=[6, 3]
                                   Rank 2 fitness=-1	weights=[0, 0.005, -0.184, 1.289, 1, 0, -1, -2.097, -2.108, 2.71, 1, 1, 1.573, 1, 1, -1, 0, 1, -1]	 game_history=[3, -4]
                                   Rank 3 fitness=-3	weights=[-1.338, 0, -0.168, 1.94, 2.274, 0, 1.541, 1.444, -1, -0.345, -1, -1.929, 0, 0, 1, 1, -2.414, 1, -0.43]	 game_history=[-3, 0]
                                   Rank 4 fitness=-8	weights=[1, -1.978, 1, 0, 1, -0.583, -1, -0.217, 2.59, 1.155, -1, 2.605, -0.802, 0, 1, 0, -2.614, 1, 2.278]	 game_history=[-16, 8]
2020-03-07 01:14:24.498328 - G4:   Rank 0 fitness=32	weights=[1.356, 1.971, 0.877, 0, 0, 0, 1, 0, 0, 1, -1.912, 2.535, 0, -2.04, 2.343, -0.106, 0, 1.945, -1]	 game_history=[12, 20]
                                   Rank 1 fitness=22	weights=[1.369, 1.971, -1.053, 0, 0, -2.201, -1, 0, 0, 2.081, 1.912, 2.535, -1.153, 2.04, 2.049, -0.106, 0, 1.945, -1]	 game_history=[19, 3]
                                   Rank 2 fitness=19	weights=[0, 1.443, 1.766, 0.466, 0.792, 0, 1, 2.305, 0, 1, -1.153, 1, -1, 1, 1, -2.485, -0.201, -1, 2.278]	 game_history=[5, 14]
                                   Rank 3 fitness=14	weights=[-1.593, 1.565, 1, -3.733, -1.344, 0, 1, -1.967, -2.358, 0.525, 1, 1, 1, 1, -1.386, -0.6, 0, -1, 1]	 game_history=[7, 7]
                                   Rank 4 fitness=-4	weights=[0.26, 0.005, -0.184, 0.175, 1.974, 0, 1.328, 0.166, -2.108, 2.71, 1, 1, -1.573, -4.773, 1, -1, -0.535, 0.36, -1.451]	 game_history=[-1, -3]
2020-03-07 01:14:41.013186 - G5:   Rank 0 fitness=27	weights=[1.275, 1.796, -0.877, 0, 0, 0, 1.817, 0, 0.727, 1, 0.565, 2.535, -1.336, -2.04, -2.07, -0.756, 0, 1.945, 1]	 game_history=[7, 20]
                                   Rank 1 fitness=26	weights=[0, -0.005, -0.184, 1.289, -3.096, 2.349, -1, -0.343, -4.318, -3.635, -1.041, -0.32, -1.554, 1, 1, -2.485, 0.201, 1, 1]	 game_history=[4, 22]
                                   Rank 2 fitness=12	weights=[0.419, 1.443, 1.766, 0.466, 0.792, 0, -0.139, 2.305, -3.776, 1.747, 1.153, -0.11, -1, -0.184, 1, -0.164, 1.287, -1, -0.475]	 game_history=[6, 6]
                                   Rank 3 fitness=0	weights=[0.223, -0.081, 0.168, 1.94, 1.249, -0.34, -0.259, 1.444, 1, 1.468, 1, -4.24, 0.785, -0.651, 1.644, -1, 0.009, -1.198, 0.225]	 game_history=[4, -4]
                                   Rank 4 fitness=-13	weights=[1.369, 1.971, -1.053, 0, 0, -2.201, -1, 0, 0, 2.081, 1.912, 2.535, -1.153, 2.04, 2.049, -0.106, 0, 1.945, -1]	 game_history=[-17, 4]
2020-03-07 01:14:56.390223 - G6:   Rank 0 fitness=50	weights=[0, 0.951, -0.184, -1.289, 1.117, 0.388, -1.068, -1.481, -4.318, -3.635, -2.278, -1.212, 1.554, 1, -1, -2.485, 0.155, 1, 1.014]	 game_history=[16, 34]
                                   Rank 1 fitness=19	weights=[2.695, -1.971, 1.008, 0.393, -1.03, 0.089, 0.474, 1.999, -0.414, -1.891, -0.168, 2.535, -1.153, -0.184, -0.049, -0.106, 2.317, -4.152, -3.131]	 game_history=[16, 3]
                                   Rank 2 fitness=14	weights=[0, -0.005, -0.184, 1.289, -3.096, 2.349, -1, -0.343, -4.318, -3.635, -1.041, -0.32, -1.554, 1, 1, -2.485, 0.201, 1, 1]	 game_history=[-10, 24]
                                   Rank 3 fitness=3	weights=[1.369, 6.434, -1.053, 0, 0, -2.201, 1.817, 1.125, 0.727, -1, 0.565, 3.411, -1.336, 0.297, -2.07, 0.308, -4.165, -1.795, -1]	 game_history=[3, 0]
                                   Rank 4 fitness=-5	weights=[1.02, -0.612, -1.766, 1.454, 0.792, -2.315, -0.795, 2.305, -3.776, 5.987, 1.153, -0.11, -1, -0.184, 2.656, 0.164, -1.287, -1, -2.396]	 game_history=[-7, 2]
2020-03-07 01:15:12.559438 - G7:   Rank 0 fitness=21	weights=[0, -0.951, -2.405, 1.289, -0.75, 0.388, -2.018, -3.003, -6.215, -3.635, -2.278, -0.51, 1.554, -1, -1, 2.485, -1.155, -1, 1.014]	 game_history=[-13, 34]
                                   Rank 1 fitness=20	weights=[-0.419, -1.443, 1.766, 1.491, 0.792, -1.024, 0.139, 2.305, -3.776, -1.225, -1.041, -1.932, -1.554, 1.583, 1, -3.739, 0.201, -1, -1.12]	 game_history=[6, 14]
                                   Rank 2 fitness=14	weights=[2.695, -1.971, 3.641, -0.523, -1.03, 0.089, 0.231, -2.988, -0.414, 3.022, 0.168, -4.933, 1.604, -0.184, 0.049, 0.213, 2.431, -4.152, -3.131]	 game_history=[4, 10]
                                   Rank 3 fitness=10	weights=[2.695, -1.971, 1.008, 0.393, -1.03, 0.089, 0.474, 1.999, -0.414, -1.891, -0.168, 2.535, -1.153, -0.184, -0.049, -0.106, 2.317, -4.152, -3.131]	 game_history=[1, 9]
                                   Rank 4 fitness=4	weights=[0, -0.005, -0.184, -1.289, 6.992, -2.349, -1, -0.343, -2.716, 3.635, 1.041, -2.479, -1.554, 1, -2.371, -2.485, 1.553, 0.379, -1]	 game_history=[0, 4]
2020-03-07 01:15:29.798542 - G8:   Rank 0 fitness=46	weights=[-1.687, 0.951, -2.438, -1.289, 0.75, 1.335, -2.018, 1.218, -6.215, -3.635, 2.278, 1.517, -1.554, 1, -1, 3.854, 1.268, 3.015, 1.014]	 game_history=[36, 10]
                                   Rank 1 fitness=43	weights=[4.54, 3.623, 1.008, 0.393, -1.003, 0.089, 0.474, 1.061, -1.637, -3.26, -0.168, -4.853, -1.153, 0.184, 0.516, -0.106, 2.317, 4.152, -5.305]	 game_history=[20, 23]
                                   Rank 2 fitness=34	weights=[-0.419, -1.443, 1.766, 1.491, 0.792, -1.024, 0.139, 2.305, -3.776, -1.225, -1.041, -1.932, -1.554, 1.583, 1, -3.739, 0.201, -1, -1.12]	 game_history=[-1, 35]
                                   Rank 3 fitness=12	weights=[-1.346, 8.39, -3.621, -0.756, 1.767, 0.812, 1.817, -2.305, -3.776, -2.127, 0.159, -1.932, -1.554, -1.583, -1.248, -0.308, -5.094, 0.696, -0.732]	 game_history=[7, 5]
                                   Rank 4 fitness=2	weights=[0, 0.951, -3.19, 1.289, -1.565, 0.388, -3.177, -3.003, -2.769, 3.769, -1.041, 2.479, 1.554, 1, 2.371, 1.175, -1.553, -0.379, -1.669]	 game_history=[-6, 8]
